Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,lat,lon,year,month,day,day_of_year,BA,cause,state,fire_id,fire_name,sfi,fm100,fm1000,vpd,erc,bi,vs,NPP,GDP,Popu,LTC,lat_idx,lon_idx,time_idx,eco_id,fire_class
4897,4897,4897,42.72361111,-123.93833333,2005,7,21,202,14772.0,Natural,OR,5961,BLOSSOM,0.0,9.086734771728516,14.695663452148438,1.905535697937012,70.13698577880861,0.0,2.853316307067871,2.54394568183799,0.0,-0.30252950509283055,41.0,26,3,66,7.0,1.0
247961,247961,7960,40.174369,-124.073169,2003,9,3,246,13846.0,Natural,CA,326246,LIGHTNING HONEYDEW4M,0.0,10.643112182617188,11.496172904968262,1.7020407915115356,70.13698577880861,0.0,2.888265371322632,3.470669635009359,0.0,-0.30252950509283055,41.0,36,2,44,7.0,1.0
593375,593375,3374,39.833208,-123.631965,2014,7,30,211,12535.0,Natural,CA,300335348,LODGE COMPLEX,100.0,6.0303568840026855,8.296428680419924,2.4657142162323,100.0,100.0,4.628571510314941,2.347535135775629,2020665.5,-0.29918370660927096,11.0,38,4,174,7.0,1.0
394105,394105,4104,40.29,-123.94,2003,9,3,246,11036.0,Natural,CA,1331529,CANOE,0.0,13.416582107543944,14.72653102874756,1.5865305662155151,63.28767013549805,0.0,2.688265323638916,1.911468384984116,1809147.375,-0.2924921096421518,22.0,36,3,44,7.0,1.0
270107,270107,106,45.5465,-122.6295,2001,7,13,194,7500.0,Natural,OR,350361,STARVATION,100.0,9.851275444030762,12.944897651672363,1.1148724555969238,98.90410614013672,100.0,3.747449159622192,1.8366428076715007,5971927040.0,3.906484987225124,0.0,15,8,18,7.0,1.0
399578,399578,9577,39.63805555,-123.785,2008,6,30,182,5581.0,Natural,CA,1337726,HARDY RIDGE LIGHTNING,83.5616455078125,12.31811237335205,12.65994930267334,0.914642870426178,98.35616302490234,72.60273742675781,2.9727041721343994,1.7014875183307208,7806010.5,-0.27910891570791346,1.0,39,4,101,7.0,1.0
399500,399500,9499,39.13611111,-123.545,2008,6,21,173,4466.0,Natural,CA,1337643,5-8 MALLO-B LIGHTNING,0.0,9.49591827392578,12.180357933044435,1.2113009691238403,95.89041137695312,0.0,4.618877410888672,3.8421418560854677,4610998.0,-0.2924921096421518,15.0,41,4,101,7.0,1.0
249861,249861,9860,39.8644,-123.6647,2008,6,21,173,3597.0,Natural,CA,328251,MEU RED MTN 1 3,0.0,7.730357646942139,11.244643211364746,1.2621428966522217,73.4246597290039,0.0,3.9464287757873535,2.335890988525876,2117163.75,-0.29918370660927096,39.0,38,4,101,7.0,1.0
249853,249853,9852,39.2183,-123.4108,2008,6,20,172,3416.0,Natural,CA,328243,MEU ORR,92.6027374267578,7.502040863037108,10.76505184173584,2.389719247817993,100.0,79.45205688476562,2.5630102157592773,2.06905512840303,357651360.0,-0.25903412480655597,91.0,40,5,101,7.0,1.0
399499,399499,9498,39.23388888,-123.39805555,2008,6,21,173,3000.0,Natural,CA,1337642,SINGLY LIGHTNING,0.0,7.763010501861572,10.689030647277832,1.7806121110916138,77.80821990966797,0.0,3.900000095367432,2.06905512840303,357651360.0,-0.25903412480655597,91.0,40,5,101,7.0,1.0
399583,399583,9582,39.22,-123.33305555,2008,7,3,185,3000.0,Natural,CA,1337731,ORR SPRINGS RD  ORR 3,80.82191467285156,13.61505126953125,10.978060722351074,0.9052040576934814,82.7397232055664,80.27397155761719,4.276020526885986,2.06905512840303,357651360.0,-0.25903412480655597,0.0,40,5,102,7.0,1.0
400876,400876,875,39.22194444,-123.39111111,2008,7,4,186,3000.0,Natural,CA,1339407,MONTGOMERY FLAT,82.19178009033203,14.126021385192873,11.228060722351074,0.7152040600776672,81.36986541748047,85.75342559814453,4.950000286102295,2.06905512840303,357651360.0,-0.25903412480655597,0.0,40,5,102,7.0,1.0
577226,577226,7225,47.7014,-123.7939,2015,6,15,166,2815.0,Natural,WA,300217103,PARADISE,100.0,9.789795875549316,16.118879318237305,1.2462245225906372,100.0,100.0,5.489285945892334,-1.5607684772739354,0.0,-0.30252950509283055,0.0,6,3,185,7.0,1.0
249854,249854,9853,39.2633,-123.3311,2008,6,20,172,1538.0,Natural,CA,328244,MEU JACKS,92.6027374267578,7.502040863037108,10.76505184173584,2.389719247817993,100.0,79.45205688476562,2.5630102157592773,2.06905512840303,357651360.0,-0.25903412480655597,91.0,40,5,101,7.0,1.0
249860,249860,9859,40.3994,-123.9494,2008,6,21,173,886.0,Natural,CA,328250,HUU PARADISE,100.0,9.646939277648926,12.458673477172852,1.1346173286437988,100.0,100.0,3.5956635475158687,1.748909415248292,1779276.0,-0.2924921096421518,12.0,36,3,101,7.0,1.0
284381,284381,4380,48.00139,-123.49917,2003,9,6,249,820.0,Natural,WA,367439,GRIFF,0.0,11.56607151031494,12.347704887390137,1.191811203956604,97.2602767944336,0.0,2.915816307067871,2.0332476886747908,47211904.0,-0.07166940972721937,8.0,5,5,44,7.0,1.0
460793,460793,792,47.6225,-123.3078,2010,8,6,218,385.0,Natural,WA,1477247,HOPPER,100.0,15.81760311126709,14.781122207641602,0.4351275563240051,100.0,100.0,4.722959041595459,1.4377352531607268,0.0,-0.30252950509283055,9.0,7,5,127,7.0,1.0
399494,399494,9493,39.135,-123.44388888,2008,6,21,173,373.0,Natural,CA,1337637,OSO LIGHTNING,100.0,6.557398319244385,9.553317070007324,2.170663356781006,100.0,100.0,5.195918560028076,2.4283001974065987,349829.21875,-0.2891463111585922,40.0,41,5,101,7.0,1.0
