Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,lat,lon,year,month,day,day_of_year,BA,cause,state,fire_id,fire_name,sfi,fm100,fm1000,vpd,erc,bi,vs,NPP,GDP,Popu,LTC,lat_idx,lon_idx,time_idx,eco_id,fire_class
355931,355931,5930,45.86053,-122.98268,1993,8,24,236,0.01,Natural,OR,872529,HIT & RUN ROAD #1,92.876708984375,14.699999809265137,16.54719352722168,0.6905611753463745,83.28767395019531,96.4383544921875,4.03877592086792,1.9149764741892517,34542888.0,-0.07166940972721937,126.0,14,7,-77,7.0,0.0
97113,97113,7112,40.16777778,-123.98694444,1999,8,23,235,0.1,Natural,CA,118748,BROOKS RIDGE,69.04109954833984,16.388010025024414,16.255613327026367,0.8318367004394531,76.4383544921875,69.31507110595703,3.1176021099090576,2.0274929697737596,22423664.0,-0.27910891570791346,0.0,37,3,-5,7.0,0.0
328612,328612,8611,44.38333,-123.61666,2005,7,22,203,0.01,Natural,OR,815677,MILL CREEK LIGHTNING,0.0,11.555357933044435,15.142602920532228,1.1201019287109375,79.72602844238281,0.0,2.9808673858642583,2.6996609699608576,2443704.0,-0.29583790812571137,34.0,20,4,66,7.0,0.0
634872,634872,4871,45.62306,-123.37056,2017,6,26,177,0.01,Natural,OR,400106634,FIRE BREAK 1,68.76712036132811,15.45255184173584,21.16403007507324,0.29140305519104,68.49314880371094,56.4383544921875,2.7512755393981934,1.9779593979803827,0.0,-0.30252950509283055,62.0,15,5,209,7.0,0.0
334773,334773,4772,45.85738,-122.90094,2000,7,22,204,0.01,Natural,OR,824222,BROOKS RD #1,0.0,12.300000190734863,13.241581916809082,0.8102805614471436,82.7397232055664,0.0,3.3971939086914062,1.6722528690856577,32007058.0,-0.1051273945628152,38.0,14,7,6,7.0,0.0
357097,357097,7096,43.50682000000001,-123.46884,1993,5,31,151,0.01,Natural,OR,873815,BRAD CREEK,0.0,24.88903045654297,28.5,0.3693877458572388,0.0,0.0,3.5951530933380127,2.909406279110096,2631383.5,-0.27910891570791346,0.0,23,5,-80,7.0,0.0
336019,336019,6018,43.04458,-123.94617,1998,4,25,115,0.01,Natural,OR,848514,JONES CREEK,58.08219146728516,19.435970306396484,27.284183502197266,0.4449999928474426,48.49314880371094,58.35616302490234,2.299999952316284,2.8061594620589596,1129544.0,-0.29918370660927096,0.0,25,3,-21,7.0,0.0
325784,325784,5783,42.85516,-124.50966,2005,7,21,202,0.02,Natural,OR,812160,E BRUSHY PRAIRIE,0.0,15.756632804870604,18.505613327026367,0.7319898009300232,65.75342559814453,0.0,3.5344388484954834,-1.5607684772739354,1536090.75,-0.28580051267503265,58.0,26,1,66,7.0,0.0
539454,539454,9453,44.7736111,-122.58694444,2013,9,8,251,0.01,Natural,OR,201817398,HOOK AND EYE LANE FIRE,83.5616455078125,19.60994911193848,19.47653007507324,0.9503571391105652,73.15068817138672,88.76712036132812,3.3466835021972656,1.6821899605474733,24512374.0,-0.24230513238875806,62.0,18,8,164,7.0,0.0
666070,666070,6069,44.11222,-123.65417,2018,4,27,117,0.01,Natural,OR,400314782,CHICKEN STRIKE,0.0,19.652551651000977,27.75510215759277,0.1205357164144516,0.0,0.0,3.615816593170166,2.933511172957344,3732406.5,-0.29918370660927096,0.0,21,4,219,7.0,0.0
557325,557325,7324,44.84333,-123.55944,2014,8,2,214,0.01,Natural,OR,300075792,1300 RD FIRE,0.0,11.996939659118652,14.79668426513672,1.2859948873519895,80.82191467285156,0.0,5.5466837882995605,3.2364219287246088,0.0,-0.30252950509283055,9.0,18,4,175,7.0,0.0
69255,69255,9254,48.04833333,-123.735,1995,8,11,223,0.1,Natural,WA,82924,FALLS CREEK,0.2739726006984711,19.56403160095215,19.86428642272949,0.2302550971508026,56.4383544921875,0.0,3.7002551555633545,2.4680581327774664,10432340.0,-0.2724173187407943,0.0,5,4,-53,7.0,0.0
539828,539828,9827,46.17694443,-123.74333333,2013,8,21,233,0.01,Natural,OR,201818087,HIGHWAY 30 FIRE,100.0,17.067602157592773,18.07933616638184,0.8703060746192932,98.90410614013672,100.0,4.761734962463379,2.3598935620822568,9847506.0,-0.26907152025723474,0.0,12,4,163,7.0,0.0
344398,344398,4397,44.0292,-123.84366,2003,8,5,217,0.01,Natural,OR,860416,805 RHODY,0.0,16.934185028076172,14.268366813659668,0.4589540660381317,80.27397155761719,0.0,2.731632709503174,2.9369827016748555,33054016.0,-0.29583790812571137,36.0,21,3,43,7.0,0.0
334627,334627,4626,43.41205,-124.04224,1997,9,10,253,0.01,Natural,OR,824059,MILLICOMA RIVER,0.0,20.725000381469727,19.05000114440918,0.5174999833106995,55.61643981933594,0.0,2.9500000476837163,3.0824188492100806,17090492.0,-0.05159461882586189,0.0,24,2,-28,7.0,0.0
79451,79451,9450,42.105,-124.10333333,1996,7,15,197,0.1,Natural,OR,96856,WHEELER,0.0,13.417091369628904,15.16785717010498,1.0291836261749268,66.02739715576172,0.0,2.5806121826171875,2.754463914047743,540216.75,-0.2121929460367218,0.0,29,2,-42,7.0,0.0
336705,336705,6704,43.52239,-124.12496000000002,1992,7,4,186,0.03,Natural,OR,849281,RIDGE ROAD #2,0.0,16.832908630371097,16.271940231323242,0.4660969376564026,70.68492889404297,0.0,2.428061246871948,-1.5607684772739354,11790172.0,-0.2523425278394368,0.0,23,2,-90,7.0,0.0
